,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,val_number, consent_value ,description
42359,Christchurch,Christchurch,20-Feb-17,BCN-2016-10896,75 Gardiners Road Bishopdale ,75 Gardiners Road,Bishopdale,,Lot 3 DP 18461,," $5,000.00 ","alteration to dwelling - installation of masport osburn 1600, freestanding dry woodburner cac090550"
42360,Christchurch,Christchurch,20-Feb-17,BCN-2017-827,34 Berry Street St Albans ,34 Berry Street,St Albans,,Pt RS 206 Canterbury Dist,," $4,500.00 ","alteration to dwelling - installation of masport heartland, freestanding, dry, woodburner - cac 163230"
42361,Christchurch,Christchurch,20-Feb-17,BCN-2017-886,53 Eastwood Rise North Shore ,53 Eastwood Rise,North Shore,,Lot 236 DP 81361,," $4,500.00 ",alteration to dwelling - installation of harris ferva saturn freestanding dry wood burner cac 169888
42362,Christchurch,Christchurch,20-Feb-17,BCN-2017-663,137 Miners Road Yaldhurst ,137 Miners Road,Yaldhurst,,Lot 12 DP 25750,," $4,500.00 ","alteration to dwelling - installation of woodsman aspen, freestanding, wetback woodburner, cac111307"
42363,Christchurch,Christchurch,20-Feb-17,BCN-2017-885,50 Bailey Street Templeton ,50 Bailey Street,Templeton,,Lot 65 DP 39481,," $2,300.00 ",alteration to dwelling - installation of woodsman ecr novo freestanding wetback wood burner cac 155148
42364,Christchurch,Christchurch,20-Feb-17,BCN-2017-820,14 Banks Street Templeton ,14 Banks Street,Templeton,,Flat 2 DP 57971 on Lot 1 DP 17342 having share in 1169 m2,," $2,000.00 ","alteration to dwelling - installation of tropicair duo, freestanding dry woodburner cac164316"
42365,Christchurch,Christchurch,20-Feb-17,BCN-2017-789,21 Elvira Court Bishopdale ,21 Elvira Court,Bishopdale,,Lot 24 DP 46909,," $1,950.00 ",alteration to dwelling - installation of masport osburn 1600 freestanding woodburner dry cac090550
42375,Christchurch,Timaru,20-Feb-17,00001240  2016,0 Connolly Street  ,0 Connolly Street,,,LOT: 2 DP: 475257,," $400,000.00 ",erect dwelling with attached garage & install yunca weji 2000freestanding woodburner
42376,Christchurch,Timaru,20-Feb-17,00000034  2017,143 Te Ngawai Road  ,143 Te Ngawai Road,,,Lot: 1 DP: 56413,," $200,000.00 ",dwelling additions & alterations / install woodsman tarras mkiifreestanding woodburner
42377,Christchurch,Timaru,20-Feb-17,00000064  2017,173 Gleniti Road  ,173 Gleniti Road,,,LOT: 1 DP: 43566,," $10,000.00 ",install masport osburn 1600 mkii & masport mackenzie r10000freestanding woodburners
42378,Christchurch,Timaru,20-Feb-17,00001405  2016,12 Hunt Street  ,12 Hunt Street,,,Lot: 3 DP: 3199,," $5,000.00 ",install masport le4000 provincial inbuilt woodburner
42381,Christchurch,Timaru,20-Feb-17,00000006  2017,38 Buchanan Street  ,38 Buchanan Street,,,PLT: 12 DP: 36,," $5,000.00 ",install jayline is550 inbuilt woodburner
42382,Christchurch,Timaru,20-Feb-17,00000145  2017,14 Maryburn Place  ,14 Maryburn Place,,,Lot: 4 DP: 36534,," $5,000.00 ",install metro eco euro ped freestanding woodburner
42383,Christchurch,Timaru,20-Feb-17,00000146  2017,4 Otipua Road  ,4 Otipua Road,,,LOT: 4 DP: 12729,," $5,000.00 ",install masport le4000 inbuilt woodburner
42384,Christchurch,Timaru,20-Feb-17,00000076  2017,22 Acacia Drive  ,22 Acacia Drive,,,Lot: 4 DP: 26551,," $5,000.00 ",install pyroclassic iv freestanding woodburner
42385,Christchurch,Timaru,20-Feb-17,00001428  2016,35 Glenview Terrace  ,35 Glenview Terrace,,,Lot: 5 DP: 41339,," $5,000.00 ",install woodsman flare freestanding woodburner
42391,Christchurch,Waimakariri,20-Feb-17,BC170102,50 Ashgrove Street  ,50 Ashgrove Street,,,LOT 7 D P 23419,," $3,000.00 ",masport 1600 freestanding logburner
42414,Southland,Southland,21-Feb-17,RBW/2017/101401/1,31 Takitimu Avenue  ,31 Takitimu Avenue,,,3044057482,," $280,000.00 ",erect dwelling with attached garage and install woodburner
42424,Otago,Dunedin,21-Feb-17,ABA-2017-222,14 Queen Street Mosgiel  ,14 Queen Street Mosgiel,,,Val  NZ No 28010-11000,," $5,000.00 ",install metro wee rad woodburner into dwelling
42428,Otago,Dunedin,21-Feb-17,ABA-2017-178,70 Loyalty Street Dunedin  ,70 Loyalty Street Dunedin,,,Val  NZ No 27450-59200,," $3,000.00 ",install masport i2000 inbuilt woodburner into dwelling
42432,Marlborough,Marlborough,21-Feb-17,BC170058,49 Anglesea Street Renwick  ,49 Anglesea Street Renwick,,,,," $75,000.00 ",dwelling additions & alterations including inbuilt masport le4000 log fire
42433,Marlborough,Marlborough,21-Feb-17,BC170065,1667 Redwood Pass Road Redwood Pass  ,1667 Redwood Pass Road Redwood Pass,,,,," $40,000.00 ",dwelling alterations with free- standing woodsman log fire
42434,Marlborough,Marlborough,21-Feb-17,BC170142,11 Carlyle Crescent Blenheim  ,11 Carlyle Crescent Blenheim,,,,," $7,000.00 ",free-standing woodsman ecr novo log fire & inbuilt firenzo athena log fire
42435,Marlborough,Marlborough,21-Feb-17,BC170145,4 Whitney Street Blenheim SF  ,4 Whitney Street Blenheim SF,,,,," $5,900.00 ",free-standing firenzo contessa urban (legs) log fire
42436,Marlborough,Marlborough,21-Feb-17,BC170144,55 Shandon Road Waihopai SF  ,55 Shandon Road Waihopai SF,,,,," $5,080.00 ",free-standing masport osburn 1600 log fire
42437,Marlborough,Marlborough,21-Feb-17,BC170146,8 Hitaua Place Blenheim  ,8 Hitaua Place Blenheim,,,,," $4,850.00 ",free-standing masport hestia 2 log fire
42438,Marlborough,Marlborough,21-Feb-17,BC170140,116 Maxwell Road Blenheim  ,116 Maxwell Road Blenheim,,,,," $4,150.00 ",inbuilt masport bannockburn i2000 log fire
42439,Christchurch,Ashburton,21-Feb-17,BC0047/17,52 Beach Road Ashburton  ,52 Beach Road Ashburton,,,,," $4,600.00 ",install an inbuilt kent logfire 2
42441,Christchurch,Ashburton,21-Feb-17,BC0046/17,35 Fairfield Road Ashburton District  ,35 Fairfield Road Ashburton District,,,,," $2,500.00 ",install a f/s kent cardrona logfire.
42449,Christchurch,Christchurch,21-Feb-17,BCN-2016-11007,14 St Davids Street Lyttelton ,14 St Davids Street,Lyttelton,,Lot 1 DP 14451,," $150,000.00 ","alteration to dwelling - internal layout change, installation of double glazing units and installation of a masport f3000, freestanding, dry, woodburner, cac 092856"
42452,Christchurch,Christchurch,21-Feb-17,BCN-2016-9150,104A Hackthorne Road Cashmere ,104A Hackthorne Road,Cashmere,,Pt Lot 2 DP 6749,," $78,000.00 ","alteration and addition to detached dwelling - change to layout - addition of kitchen and attached garage and installtion of xeoos twinfire x8 uleb, freestanding, dry, woodburner - cac 156423"
42457,Christchurch,Christchurch,21-Feb-17,BCN-2017-788,37 Hare Street Upper Riccarton ,37 Hare Street,Upper Riccarton,,Lot 60 DP 14466,," $8,000.00 ",alteration to dwelling - installation of ferva saturn dry freestanding woodburner - cac172501
42458,Christchurch,Christchurch,21-Feb-17,BCN-2017-843,20 Burnridge Place Belfast ,20 Burnridge Place,Belfast,,Lot 24 DP 41816,," $5,000.00 ","alteration to dwelling - installation of milan caldo, freestanding, dry, woodburner - cac 110305"
42459,Christchurch,Christchurch,21-Feb-17,BCN-2017-812,18B Idris Road Fendalton ,18B Idris Road,Fendalton,,Flat B DP 23613 on Lot 2 DP 23613 having share in 875 m2,," $4,500.00 ","alteration to dwelling - installation of firenzo forte flush, insert, dry, woodburner - cac 090133"
42460,Christchurch,Christchurch,21-Feb-17,BCN-2017-908,308 Opawa Road Hillsborough ,308 Opawa Road,Hillsborough,,Lot 34 DP 30066,," $4,390.00 ","alterations to dwelling - installation of woodsman ecr novo, freestanding, dry, woodburner - cac 153733"
42461,Christchurch,Christchurch,21-Feb-17,BCN-2017-839,20 Ranui Street Hei Hei ,20 Ranui Street,Hei Hei,,Lot 179 DP 19822,," $4,200.00 ","alteration to dwelling - installation of woodsman matai ecr mkiii, freestanding, dry, woodburner - cac 102148"
42467,Christchurch,Christchurch,21-Feb-17,BCN-2016-6986-A,514 Marine Drive Diamond Harbour ,514 Marine Drive,Diamond Harbour,,Lot 2 DP 25920,, $100.00 ,"amendment 1 - removal of woodburner in bedroom four and changes to conservatory, roof structure and bathrooms"
42473,Christchurch,Timaru,21-Feb-17,00000024  2017,30 Sefton Street  ,30 Sefton Street,,,Lot: 1 DP: 5604,," $5,000.00 ",install woodsman tasman wetback mkii freestanding woodburner
42474,Christchurch,Timaru,21-Feb-17,00001385  2016,12 Harborough Street  ,12 Harborough Street,,,LOT: 1 DP: 18092,," $5,000.00 ",install woodsman totara inbuilt woodburner
42475,Christchurch,Timaru,21-Feb-17,00000061  2017,53 Main Road  ,53 Main Road,,,Lot: 14 DP: 5,," $5,000.00 ",install tasman dry mkii freestanding woodburner
42476,Christchurch,Timaru,21-Feb-17,00001426  2016,4 College Road  ,4 College Road,,,LOT: 2 DP: 3928,," $5,000.00 ",install woodsman tarras mkiii freestanding woodburner
42477,Christchurch,Timaru,21-Feb-17,00000062  2017,22 Flemington Street  ,22 Flemington Street,,,Lot: 11 DP: 17406,," $5,000.00 ",install woodsman tasman dry mkii freestanding woodburner
42478,Christchurch,Timaru,21-Feb-17,00001508  2016,38 Orbell Street  ,38 Orbell Street,,,Lot: 1 DP: 72423,," $5,000.00 ",install firenzo athena flush ag08 inbuilt woodburner
42482,Christchurch,Waimakariri,21-Feb-17,BC170040,6 Braeburn Crescent  ,6 Braeburn Crescent,,,LOT 84 DP 494181 0.446500 Ha,," $400,000.00 ",dwelling with attached garage and logburner
42486,Christchurch,Waimakariri,21-Feb-17,BC170131,13 Magnate Drive  ,13 Magnate Drive,,,Lot 451 DP 461594,," $3,000.00 ",harris ferva saturn freestanding log burner
42488,Christchurch,Waitaki,21-Feb-17,101.2017.00003695.001,64 Awamoa Road  ,64 Awamoa Road,,,Lot: 5 DP: 7095,," $1,500.00 ",installation of a woodsman eco novo woodburner with heat
42506,Marlborough,Marlborough,22-Feb-17,BC170148,5 B Burden Street Blenheim  ,5 B Burden Street Blenheim,,,,," $5,900.00 ",free-standing pyroclassic iv log fire
42507,Marlborough,Marlborough,22-Feb-17,BC170147,142 Budge Street Blenheim  ,142 Budge Street Blenheim,,,,," $3,850.00 ",inbuilt masport bannockburn i2000 log fire
42508,Marlborough,Marlborough,22-Feb-17,BC170149,29 Morse Street Wairau Valley  ,29 Morse Street Wairau Valley,,,,," $3,550.00 ",free-standing kent tui rad clean air log fire
42509,Marlborough,Marlborough,22-Feb-17,BC170151,13 Martin Terrace Blenheim  ,13 Martin Terrace Blenheim,,,,," $3,000.00 ",free-standing masport r1600 log fire
42514,Christchurch,Ashburton,22-Feb-17,BC0051/17,149 Coplands Road Ashburton District  ,149 Coplands Road Ashburton District,,,,," $4,850.00 ",install a f/s woodsman brunner mkii logfire on wetback
42515,Christchurch,Ashburton,22-Feb-17,BC0072/17,13 Colcord Place Methven  ,13 Colcord Place Methven,,,,," $4,500.00 ",install a f/s masport ecr novo logfire.
42517,Christchurch,Ashburton,22-Feb-17,BC0058/17,54 Grey Street Ashburton  ,54 Grey Street Ashburton,,,,," $4,400.00 ",install an inbuilt metro eco smart insert logfire
42518,Christchurch,Ashburton,22-Feb-17,BC0076/17,28 Cox Street Ashburton  ,28 Cox Street Ashburton,,,,," $4,000.00 ",install a f/s metro wee rad logfire.
42523,Christchurch,Christchurch,22-Feb-17,BCN-2016-9768,3 the Rise Mt Pleasant ,3 the Rise,Mt Pleasant,,Lot 12 DP 3902,," $700,000.00 ","alterations and additions to dwelling - addition of attached garage, library, attached sleepout, ensuite and wir. installation of xeoos twinfire x8, freestanding, dry, woodburner, cac156423."
42540,Christchurch,Timaru,22-Feb-17,00000074  2017,39 College Road  ,39 College Road,,,LOT: 7 DP: 19052,," $5,000.00 ",install kent rata inbuilt woodburner
42544,Christchurch,Waimakariri,22-Feb-17,BC170122,7 Knight Street  ,7 Knight Street,,,LOT 7 DP 33133,," $3,000.00 ",masport r5000p freestanding wetback logburner
42546,Christchurch,Waimakariri,22-Feb-17,BC170111,4 Parsonage Road  ,4 Parsonage Road,,,LOT 8 DP 36711,," $3,000.00 ",masport r1500 freestanding logburner
42550,West Coast,Grey,23-Feb-17,BC994913,4 Westvale Drive Greymouth West Coast 7805  ,4 Westvale Drive Greymouth West Coast 7805,,,LOT 1 DP 333000,," $8,000.00 ",new in-built wood fire jetmaster 700d.
42554,Southland,Gore,23-Feb-17,208913/1,33 Bryant Road  ,33 Bryant Road,,,,," $2,500.00 ",new woodfire
42565,Otago,Clutha,23-Feb-17,BLD/2017/16874,973 Owaka Highway  ,973 Owaka Highway,,,2879117000,," $6,500.00 ",install solid fuel heater - masport kronos - multifuel with wetback and tempering valve
42566,Otago,Clutha,23-Feb-17,BLD/2017/16875,234 Whitelea Road  ,234 Whitelea Road,,,2877106900,," $5,000.00 ",install solid fuel heater - firenzo encore ru - f/s woodburner
42567,Otago,Clutha,23-Feb-17,BLD/2017/16881,9 Boyldon Street  ,9 Boyldon Street,,,2860508200,," $4,600.00 ",install solid fuel heater - metro wee ped - f/s woodburner
42568,Otago,Clutha,23-Feb-17,BLD/2017/16877,5 Edward Street  ,5 Edward Street,,,2804541300,," $4,000.00 ",install solid fuel heater - p535 eco choice - f/s pellet fire
42570,Otago,Clutha,23-Feb-17,BLD/2017/16880,4 Manuka Gorge Highway  ,4 Manuka Gorge Highway,,,2804213000,," $3,000.00 ",install solid fuel heater - second hand yunca - f/s woodburner
42579,Marlborough,Marlborough,23-Feb-17,BC170153,5 Spring Haven Place Blenheim  ,5 Spring Haven Place Blenheim,,,,," $6,000.00 ",free standing masport hestia 2 log fire
42580,Marlborough,Marlborough,23-Feb-17,BC170159,71 Houldsworth Street Blenheim  ,71 Houldsworth Street Blenheim,,,,," $4,500.00 ",free-standing masport r1500 log fire
42581,Marlborough,Marlborough,23-Feb-17,BC170158,10 Page Street Blenheim  ,10 Page Street Blenheim,,,,," $4,500.00 ",free-standing masport r5000 log fire
42582,Marlborough,Marlborough,23-Feb-17,BC170152,88 Colemans Road Blenheim  ,88 Colemans Road Blenheim,,,,," $3,650.00 ",free-standing metro wee rad log fire
42588,Christchurch,Ashburton,23-Feb-17,BC0077/17,42 Miller Avenue Ashburton  ,42 Miller Avenue Ashburton,,,,," $4,500.00 ",install an inbuilt masport le4000 logfire.
42591,Christchurch,Christchurch,23-Feb-17,BCN-2017-483,29 Ford Road Opawa ,29 Ford Road,Opawa,,Lot 6 DP 5740,," $500,000.00 ","construction of dwelling and installation of tropicair duo, freestanding, wet, woodburner, cac165314. construction of detached garage with art studio."
42607,Christchurch,Christchurch,23-Feb-17,BCN-2017-969,1/8 Paeroa Street Riccarton ,1/8 Paeroa Street,Riccarton,,Flat 1 DP 59830 on Lot 186 DP 15035 having share in 903 m2,," $6,000.00 ",alteration to dwelling - installation of woodsman totara dry insert woodburner - cac110220
42608,Christchurch,Christchurch,23-Feb-17,BCN-2017-829,84A Moncks Spur Road Moncks Spur ,84A Moncks Spur Road,Moncks Spur,,Lot 1 DP 331391,," $4,500.00 ","alteration to dwelling - installation of masport mystique, freestanding dry woodburner cac165858"
42609,Christchurch,Christchurch,23-Feb-17,BCN-2017-855,39 Dunn Street Somerfield ,39 Dunn Street,Somerfield,,Lot 33 DP 515,," $4,000.00 ",alterations to dwelling - installation of a masport r1600 freestanding  dry wood burner cac 133819
42616,Christchurch,Christchurch,23-Feb-17,BCN-2015-9101-B,2 Hyllton Heights Lyttelton ,2 Hyllton Heights,Lyttelton,,"Lot 2 DP 482356, Lot 3 DP 75633, Lot 17 DP 75633",, $100.00 ,"amendment 2 - change to laundry and ensuite layout, location of water tank, change to roof detailing and plumbing layout, change of weatherboards and change to installation of a masport osburn 1600, freestanding, dry, woodburner, cac 090550"
42619,Christchurch,Hurunui,23-Feb-17,170005,"611 Woodbank Road, Hanmer Springs  ","611 Woodbank Road, Hanmer Springs",,,LOT 13 DP 463335,," $542,000.00 ",4 bedroom dwelling with attached garage and wood burner
42620,Christchurch,Hurunui,23-Feb-17,170046,"11 Tennyson Cl, Hanmer Springs  ","11 Tennyson Cl, Hanmer Springs",,,LOT 21 DP 478749,," $450,000.00 ",3 bedroom dwelling with attached garage and woodburner
42622,Christchurch,Timaru,23-Feb-17,00001340  2016,Barker Street  ,Barker Street,,,Lot: 1 DP: 416452,," $282,709.00 ",erect dwelling with attached garage & install woodsman tarras mkiiifreestanding wetback woodburner
42625,Christchurch,Timaru,23-Feb-17,00000106  2017,19 Maple Crescent  ,19 Maple Crescent,,,Lot: 9 DP: 3593,," $5,000.00 ",install woodsman novo ecr freestanding woodburner
42628,Christchurch,Waimakariri,23-Feb-17,BC170161,238 Rockford Road  ,238 Rockford Road,,,LOT 1 DP 399020,," $3,000.00 ",mckenzie r10000 freestanding log burner
42632,West Coast,Grey,24-Feb-17,BC994933,39 Korua Street  Moana West Coast 7872  ,39 Korua Street  Moana West Coast 7872,,,LOT 27 DP 1685,," $4,500.00 ","installation of masport r1600 logburner with masport flue 
dektite soaker flashing 
bracing rods will be used if required"
42645,Otago,Dunedin,24-Feb-17,ABA-2017-111,8 Ayrshire Drive Mosgiel  ,8 Ayrshire Drive Mosgiel,,,Val  NZ No 28020-09991,," $330,000.00 ","erect dwelling with attached garage, install masport le 4000 woodburner"
42653,Marlborough,Marlborough,24-Feb-17,BC170168,33 Havelock Street Renwick  ,33 Havelock Street Renwick,,,,," $3,200.00 ",free standing metro wee rad log fire
42658,Christchurch,Christchurch,24-Feb-17,BCN-2017-481,34 Centaurus Road Cashmere ,34 Centaurus Road,Cashmere,,Lot 1 DP 17712,," $409,860.00 ",construction of dwelling with attached garage and installation of masport mystique uleb freestanding dry woodburner cac165858
42666,Christchurch,Christchurch,24-Feb-17,BCN-2016-10478,4199 Christchurch Akaroa Road Little River ,4199 Christchurch Akaroa Road,Little River,,Sec 10 Little River Town,," $40,000.00 ",relocate dwelling - internal alterations and installation of  warmington studio stove 14 freestanding wetback woodburner cac160362 subject to section 73 natural hazard notification
42672,Christchurch,Christchurch,24-Feb-17,BCN-2016-3711-A,14 La Costa Lane Mt Pleasant ,14 La Costa Lane,Mt Pleasant,,Lot 14 DP 56532,, $100.00 ,amendment 1 - change of fire to masport mystique duo freestanding woodburner dry
42674,Christchurch,Timaru,24-Feb-17,00000105  2017,7 Athol Place  ,7 Athol Place,,,Lot: 5 DP: 3804,," $5,000.00 ",install masport bannockburn i2000 inbuilt woodburner
42678,Christchurch,Waimakariri,24-Feb-17,BC170099,65B Bush Street  ,65B Bush Street,,,LOT 1 DP 304743,," $3,000.00 ",kent kiwi rad ii freestanding log burner
42679,Christchurch,Waimakariri,24-Feb-17,BC170112,1403 South Eyre Road  ,1403 South Eyre Road,,,LOT 6 DP 365996,," $3,000.00 ",quadrafire 4300 freestanding logburner
42688,Otago,Dunedin,26-Feb-17,ABA-2017-45,35A Oxley Crescent Broad Bay  ,35A Oxley Crescent Broad Bay,,,Val  NZ No 27560-45301,," $360,000.00 ","erect dwelling including garage, install metro wee ped woodburner"
42695,Southland,Gore,27-Feb-17,208916/1,12 Salford Street  ,12 Salford Street,,,,," $5,800.00 ",new woodfire
42705,Southland,Southland,27-Feb-17,RBW/2016/101363/2,762 Collinson Road  ,762 Collinson Road,,,2962016700,, $100.00 ,stage 2 - install yunca xander insert wood burner
42711,Otago,Dunedin,27-Feb-17,ABA-2017-110,38 Normanby Street Dunedin  ,38 Normanby Street Dunedin,,,Val  NZ No 27500-48900,," $25,000.00 ","alter dwelling - new bathroom, change existing bathroom into passageway, alter bedroom into two bedrooms, install bosca limit 360 woodburner"
